"","name","price","type","effect","volume","SPF","PA","skin_type","character","brand","sell"
"393","레노마 노블리티 논스탑 3웨이 선 크림","10,060","크림형",NA,"100ml(g)","SPF50+","PA+++",NA,"자외선차단","레노마","22"
"394","한국화장품 산수유 고은결 진 선크림","4,210","크림형","영양공급, 피부보호","70ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 주름개선","한국화장품","141"
"395","참존 알바트로스 레포츠 선","12,810","크림형","백탁현상방지","60ml(g)","SPF50+","PA+++",NA,"워터프루프, 자외선차단","참존","29"
"396","MISSHA 올 어라운드 세이프 블록 데일리 선 ","6,390","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","50","PA++++",NA,"워터프루프, 자외선차단, 지속력, 밀착력"," MISSHA","80"
"397","디엠에스 더모에센셜 선 레스큐 크림","38,000","튜브형","수분공급, 피부보호, 백탁현상방지","50ml(g)","50","PA+++","모든피부용","자외선차단","디엠에스","26"
"398","유세린 선 젤 크림 드라이 터치","22,900","젤형","수분공급, 피부보호, 피부유연","50ml(g)","50","PA+++","지성","자외선차단, 흡수력, 지속력","유세린","28"
"399","예브랑 센서티브 선크림","13,160","크림형","백탁현상방지","50ml(g)","SPF43","PA++","민감성","자외선차단"," 예브랑","5"
"400","라네즈 마시멜로우 선 쿠션 ","9,170","쿠션형","수분공급, 피부보호, 피부진정","10ml(g)","50","PA+++",NA,"자외선차단","라네즈","158"
"401","크레모랩 UV 프로텍션 아쿠아 오투 쉴드","20,370","크림형","수분공급","50ml(g)","SPF50+","PA++++",NA,"자외선차단","크레모랩","25"
"402","코리아나 라비다 선 솔루션 데일리 IRF20","18,610","튜브형","수분공급, 피부보호, 화이트닝","60ml(g)","36","PA+++",NA,"자외선차단","코리아나","51"
"403","잇츠스킨 프레스티지 선 데스까르고","11,150",NA,NA,"50ml(g)","50","PA+++","건성, 복합, 지성","자외선차단","잇츠스킨","135"
"404","크리니크 이븐 베터 시티 블록 안티 폴루션","35,000","크림형",NA,"30ml(g)","SPF40","PA+++",NA,"자외선차단","크리니크","2"
"405","끌레드뽀보떼 에뮐씨옹 프로텍트리스 UV 뿌르 르 꼬르","79,050","크림형","수분공급","75ml(g)","SPF30","PA+++","모든피부용","자외선차단, 주름개선"," 끌레드뽀보떼","17"
"406","어퓨 퓨어 블록 마일드 플러스 선크림","3,950","튜브형",NA,"50ml(g)","32","PA++",NA,"자외선차단, 저자극"," 어퓨","31"
"407","더바디샵 스킨 디펜스 멀티 프로텍션 에센스","24,480","튜브형","피부보호, 피부유연, 백탁현상방지","60ml(g)","50+","PA++++",NA,"자외선차단, 지속력","더바디샵","12"
"408","셀린저 라바 옐로우 프레쉬 선 스틱","14,680","스틱형","영양공급","22ml(g)","SPF50+","PA++++","모든피부용","자외선차단, 보습"," 셀린저","28"
"409","라네즈 라이트 선 플루이드 ","10,950",NA,"수분공급, 피부보호, 유수분밸런스조절","50ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단, 밀착력","라네즈","249"
"410","닥터자르트 트루라이트 에센스 선크림","21,270","튜브형","수분공급, 피부보호, 피부탄력, 화이트닝","50ml(g)","45","PA+++","건성, 복합, 지성, 민감성","자외선차단","닥터자르트","30"
"411","르네셀 앱솔루트 슈프림 선 블럭","23,020","튜브형",NA,"50ml(g)","50","PA+++",NA,"자외선차단, 저자극, 밀착력","르네셀","18"
"412","에스티로더 크레센트 화이트 UV 프로텍터","42,370","튜브형","수분공급, 피부보호, 피부진정, 화이트닝","30ml(g)","50","PA+++","모든피부용","자외선차단, 저자극","에스티로더","65"
"413","해피바스 아쿠아 모이스춰 선 젤 ","5,400","젤형","수분공급, 피부보호","75ml(g)","50","PA+++",NA,"자외선차단, 쿨링감","해피바스","77"
"414","아웃런 울트라 마라톤 선 크림","9,700","튜브형",NA,"70ml(g)","50","PA+++",NA,"자외선차단, 흡수력","아웃런","25"
"415","스킨푸드 로열 허니 착한 선 젤","5,300","젤형","피부보호","50ml(g)","30","PA++","모든피부용, 민감성","자외선차단","스킨푸드","161"
"416","온뜨레 갸마르드 쏠레흐 오뜨 프로떽씨옹","30,060","크림형","백탁현상방지","40ml(g)","SPF50","PA++++",NA,"자외선차단","온뜨레","17"
"417","니베아 페이스 선블럭 모이스처라이징 크림","6,600","튜브형","수분공급, 피부보호","50ml(g)","50","PA+++","모든피부용","자외선차단, 비타민 함유","니베아","71"
"418","아웃런 울트라 서핑 선 크림","12,970","크림형","피부보호","70ml(g)","50","PA++++",NA,"워터프루프, 자외선차단, 흡수력, 밀착력","아웃런","16"
"419","프라우드메리 데일리 모이스춰 선밀크","9,900","크림형","피부진정","40ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 프라우드메리","33"
"420","에뛰드하우스 선 프라이즈 레포츠 워터프루프","7,650",NA,"피부활력, 피부보호, 화이트닝","50ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단, 주름개선","에뛰드하우스","163"
"421","에스티로더 리 뉴트리브 래디언트 유브리 베이스","107,920","크림형",NA,"30ml(g)","SPF50","PA+++","모든피부용","자외선차단, 주름개선"," 에스티로더","6"
"422","화진화장품 예브랑 선크림","13,990","튜브형","피부보호","50ml(g)","40","PA++",NA,"자외선차단","화진화장품","8"
"423","닥터지 메디 UV 울트라 선","15,720","크림형","수분공급, 피부보호, 피부투명, 화이트닝, 백탁현상방지","50ml(g)","50","PA+++",NA,"워터프루프, 자외선차단, 밀착력, 보습, 주름개선","닥터지","42"
"424","아이뽀 데일리 선 크림","31,470","크림형",NA,"50ml(g)","SPF45","PA+++","모든피부용","자외선차단"," 아이뽀","7"
"425","더퓨어 올 그린 선 로션","7,890","크림형",NA,"60ml(g)","SPF50+","PA++++",NA,"자외선차단"," 더퓨어","17"
"426","바닐라코 프라임 프라이머 선","15,600",NA,"수분공급, 피부보호, 피부유연, 피부결정돈, 화이트닝","30ml(g)","50","PA+++","모든피부용","자외선차단","바닐라코","15"
"427","세니떼 베리어 플러스 레포츠 선","13,080","크림형","피부보호","70ml(g)","SPF50+","PA+++","모든피부용","자외선차단","세니떼","6"
"428","퍼스트픽 매직 마일드 선블럭 크림","9,350","튜브형","수분공급, 피부톤보정","60ml(g)","50","PA+++",NA,"자외선차단, 오일 프리"," 퍼스트픽","11"
"429","더페이스샵 내추럴 선 에코 데일리 선 에센스","6,380",NA,"수분공급, 피부보호, 화이트닝","50ml(g)","40","PA+++",NA,"자외선차단, 파라벤 프리, 무동물성원료","더페이스샵","90"
"430","SK-II WS 덤데피니션 UV 로션","56,900",NA,"피부보호, 피부투명, 화이트닝","30ml(g)","50","PA+++","모든피부용","자외선차단, 비타민 함유, 메이크업베이스 겸용","SK-II","58"
"431","에뛰드하우스 선 프라이즈 내추럴 코렉터 라이트 ","5,580","튜브형","화이트닝","50ml(g)","50","PA+++","모든피부용","자외선차단","에뛰드하우스","176"
"432","보타닉투웬티 데일리 선블록","18,820","크림형","피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 보타닉투웬티","20"
"433","바닐라코 잇 래디언트 CC 선 베이스","17,900","리퀴드형","피부보호","30ml","50","PA+++","모든피부용","자외선차단, 지속력, 커버력, 밀착력, 메이크업베이스 겸용","바닐라코","32"
"434","숨37도 선 어웨이 쿨링 선 CC","14,580",NA,NA,"15g","50","PA+++","모든피부용",NA,"숨37도","16"
"435","어퓨 퓨어 블록 아쿠아 선 젤","4,130","젤형","수분공급","50ml(g)","50","PA+++",NA,"자외선차단, 흡수력"," 어퓨","30"
"436","이자녹스 선케어 365 3-A 이펙터","13,400","튜브형","피부보호","70ml(g)","45","PA++","모든피부용","워터프루프, 자외선차단, 지속력, 메이크업베이스 겸용","이자녹스","2"
"437","크레모랩 UV 프로텍션 아이디얼 베이스 쉴드","20,740","크림형","피부보호","50ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선"," 크레모랩","21"
"438","숨37도 선 어웨이 쿨링 워터리 선블럭 EX","27,440","크림형","수분공급, 피부보호","50ml(g)","SPF50+","PA++","모든피부용","자외선차단, 발림성, 쿨링감","숨37도","33"
"439","온뜨레 갸마르드 쏠레흐 오뜨 프로떽씨옹","33,150","크림형",NA,"40ml(g)","SPF50+","PA+++",NA,"자외선차단"," 온뜨레","4"
"440","더페이스샵 내추럴 선 에코 피지잡는 수분 선 심슨 에디션","12,840","크림형","피지조절","50ml(g)","SPF40","PA+++","모든피부용","자외선차단","더페이스샵","6"
"441","빌리프 UV 프로텍터 올 오버 마일드 선","37,900","크림형",NA,"150ml(g)","SPF50+","PA++++","모든피부용","자외선차단","빌리프","4"
"442","마리꼬 페이스 디펜스","40,000","튜브형","피부보호","50ml(g)","30",NA,NA,"저자극","마리꼬","59"
"443","오리진스 닥터 와일 메가 디펜스 유브이 프로텍터","38,330","크림형","피부보호","30ml(g)","SPF45",NA,"모든피부용","자외선차단","오리진스","20"
"444","과일나라 헤리에타 데일리 모이스처 선크림","4,100","튜브형","피부보호","70ml(g)","50","PA+++","모든피부용, 민감성","워터프루프, 자외선차단, 지속력","과일나라","303"
"445","엔프라니 실키 핏 선 블록","6,740","튜브형","피부보호, 피부톤보정, 피지조절","70ml(g)","50","PA+++",NA,"자외선차단","엔프라니","55"
"446","어니시 엑소필라 선 프로텍터","25,000","크림형","피부진정","40ml(g)","SPF50+","PA++++","민감성","자외선차단"," 어니시","3"
"447","몽베누스 듀얼볼트 퍼펙트 4 이데베논 선크림","35,530","크림형","피부보호","50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 몽베누스","3"
"448","파이진 블루 선 UV 쿨 에센스 선크림","31,990","크림형","수분공급","40ml(g)","SPF50+","PA++++",NA,"자외선차단"," 파이진","7"
"449","스킨79 워터랩핑 논케미컬 선블럭","4,460","크림형","백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 저자극"," 스킨79","19"
"450","셀라피 에이리페어 플러스 UV 마일드 선케어","33,000","크림형",NA,"50ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 저자극, 주름개선","셀라피","1"
"451","싸이닉 엔조이 세이프 쉴드 선크림","12,020","크림형","수분공급, 피부보호, 피부진정","50ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선","싸이닉","13"
"452","한국화장품 오션 임프루브드 선크림","14,330","튜브형","수분공급, 영양공급, 피부보호, 피부진정, 피부탄력, 백탁현상방지","80ml(g)","37","PA++","모든피부용","자외선차단","한국화장품","106"
"453","에뛰드하우스 선 프라이즈 마일드 워터리 라이트","6,100","젤형","피부보호","50ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단","에뛰드하우스","128"
"454","제이에스티나 아쿠아 라이즈 선 플루이드","13,760","크림형","수분공급","60ml(g)","SPF50+","PA++++","모든피부용","자외선차단","제이에스티나","18"
"455","지베르니 파워 라스팅 선 블록","20,900","크림형",NA,"80ml(g)","SPF50+","PA+++","모든피부용","자외선차단","지베르니","14"
"456","유리아쥬 이제악 플루이드","26,420","크림형","피지조절","50ml(g)","SPF50+","PA+++","복합, 지성","자외선차단, 저자극","유리아쥬","20"
"457","더프트앤도프트 유브이 퍼펙션 하이드라썬","21,380","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"자외선차단"," 더프트앤도프트","2"
"458","랑콤 UV 엑스퍼트 XL 쉴드","53,900","크림형","수분공급, 피부보호","50ml(g)","50","PA+++",NA,"자외선차단","랑콤","3"
"459","닥터자르트 에브리 선 데이 UV 선 밀크 ","13,410",NA,"화이트닝","40ml(g)","50","PA++++","모든피부용","자외선차단","닥터자르트","20"
"460","반트36.5 프라이머 선 쿠션","15,370","쿠션형","윤기부여, 피부보호, 피부투명","15ml(g)","50","PA+++",NA,"자외선차단, 커버력"," 반트36.5","49"
"461","스킨푸드 알로에 워터리 선 워터프루프","7,330","튜브형","수분공급","50ml(g)","50","PA+++","모든피부용","워터프루프","스킨푸드","90"
"462","라루 물광 선 블럭","26,980","크림형","백탁현상방지","50ml(g)","SPF50","PA+++",NA,"자외선차단, 무동물성원료"," 라루","3"
"463","에뛰드하우스 선 프라이즈 마일드 퍼펙트 릴리프","7,080","튜브형","피부보호","50g","30","PA++","모든피부용","자외선차단","에뛰드하우스","252"
"464","수아담 홍삼 선 스크린","11,390","크림형","수분공급, 피부진정","40ml(g)","SPF50+","PA+++",NA,"자외선차단"," 수아담","22"
"465","쎄라덤 맥시블록 80","30,190","크림형",NA,"40ml(g)","SPF50","PA+++",NA,"자외선차단","쎄라덤","19"
"466","토니모리 마이 써니 올 인 원 선","8,090","튜브형","수분공급, 영양공급, 피부진정, 피부톤보정","100ml(g)","45","PA+++",NA,"자외선차단","토니모리","92"
"467","시세이도 아넷사 마일드 페이스 선스크린","34,210","크림형","수분공급, 피부보호","35ml(g)","46","PA+++","모든피부용","자외선차단, 메이크업베이스 겸용","시세이도","6"
"468","오르자드 디클리닉 아쿠아 샤이닝 선블럭","30,000","크림형",NA,"60ml(g)","SPF50","PA+++",NA,"자외선차단"," 오르자드","1"
"469","키엘 울트라 라이트 데일리 UV 디펜스 선 스크린","21,700","튜브형","수분공급, 피부진정, 피부유연","30ml(g)","50","PA++++",NA,"자외선차단","키엘","14"
"470","닥터자르트 오메가 스킨 레스큐 브라이트닝 선 쿠션","33,390",NA,NA,"12ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 보습, 주름개선"," 닥터자르트","3"
"471","숨37도 선 어웨이 멀티 이펙트 선블럭 EX","24,280","리퀴드형","윤기부여, 피부보호, 피부톤보정, 화이트닝","50ml(g)","50","PA+++","모든피부용","자외선차단, 밀착력","숨37도","37"
"472","랑콤 UV 엑스퍼트 유스 쉴드 아쿠아 젤 ","44,000","젤형","수분공급, 피부보호","30ml(g)","50","PA++++",NA,"자외선차단","랑콤","27"
"473","시세이도 퍼펙트 UV 프로텍터 하늘자차","37,310",NA,"수분공급, 피부보호","50ml(g)","50","PA+++","모든피부용, 민감성","자외선차단","시세이도","49"
"474","마몽드 카렌듈라 노 세범 선 틴트","7,990","튜브형","수분공급, 피부보호, 피부톤보정, 화이트닝","40ml(g)","30","PA++","모든피부용","자외선차단, 저자극, 미네랄 함유","마몽드","163"
"475","아토팜 워셔블 선로션","14,190","크림형","피부보호, 피부진정","60ml(g)","SPF35","PA+++","민감성","자외선차단","아토팜","51"
"476","이자녹스 선케어 365 3-A 이펙터","20,360","튜브형","수분공급, 피부보호, 피부톤보정","50ml(g)","45","PA+++",NA,"자외선차단","이자녹스","23"
"477","23yearsold 2MG 선더마 Z","26,900","크림형","피부보호","50ml(g)","SPF45","PA++++",NA,"자외선차단, 주름개선","23yearsold","5"
"478","클리오 킬 프로텍션 선 베이스 톤 업","10,150","튜브형","수분공급, 피부톤보정, 화이트닝","50ml(g)","50","PA++++","모든피부용","자외선차단","클리오","35"
"479","헉슬리 톤업 크림 스테이 선 세이프","22,000","크림형","수분공급","35ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 헉슬리","8"
"480","MISSHA 올 어라운드 세이프 블록 에센스 선","6,800","튜브형","수분공급, 영양공급, 피부보호, 피부진정","50ml(g)","45","PA+++",NA,"자외선차단","MISSHA","2"
"481","바이오더마 포토덤 맥스 크림","12,800","튜브형","피부보호","40ml(g)","50",NA,"모든피부용","자외선차단","바이오더마","94"
"482","숨37도 화이트 어워드 업 토닝 쉴드 마스터 선 블럭","25,490",NA,"피부보호, 피부결정돈, 화이트닝","50ml(g)","50","PA+++","모든피부용","자외선차단, 주름개선","숨37도","45"
"483","3W클리닉 인텐시브 UV 선 블록 크림","2,240","튜브형","피부보호","70ml(g)","50+","PA+++",NA,"자외선차단, 메이크업베이스 겸용","3W클리닉","52"
"484","지고트 브라이트닝 진주 선크림","1,300","리퀴드형","수분공급, 피부보호, 피부탄력, 피부톤보정, 피부투명","70ml(g)","50","PA+++","모든피부용","자외선차단, 발림성, 보습","지고트","134"
"485","해피바스 마일드 선 크림 ","3,860","튜브형","피부보호","70ml(g)","35","PA+++",NA,"자외선차단, 저자극, 무광물유, 무동물성원료","해피바스","128"
"486","세니떼 베리어 플러스 데일리 선","10,290","크림형","피부보호","70ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 세니떼","15"
"487","아이오페 UV 쉴드 선 멀티 플루이드","14,720",NA,"피부보호","100ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단","아이오페","103"
"488","스킨푸드 흰 민들레 더마 마일드 선 쿠션","10,900","쿠션형","피부보호, 피부진정","14ml(g)","50","PA++++","모든피부용","자외선차단, 저자극, 어린이겸용","스킨푸드","109"
"489","드끌레오 DD 유브이 쉴드","40,400","크림형","피부보호","30ml(g)","SPF30",NA,"모든피부용","자외선차단","드끌레오","13"
"490","더페이스샵 내추럴 선 에코 파워 익스트림 선 크림 ","9,000","튜브형","수분공급, 윤기부여, 피부보호","50ml(g)","50","PA++++",NA,"자외선차단, 파라벤 프리, 무동물성원료","더페이스샵","47"
"491","이쪼메디 화이트닝 선 블럭","38,000","크림형",NA,"50ml(g)","SPF42","PA++",NA,"자외선차단"," 이쪼메디","3"
"492","쌍빠 어딕트 핑크 톤 업 선 쿠션","8,100","쿠션형","수분공급, 피부보호, 피부톤보정, 화이트닝","13ml(g)","50","PA++++","모든피부용","자외선차단, 지속력, 커버력, 보습, 주름개선","쌍빠","28"
"493","뉴트로지나 울트라쉬어 퓨어 마일드 선블럭","590",NA,"피부톤보정","80ml(g)","50","PA+++","민감성","자외선차단, 오일 프리","뉴트로지나","5"
"494","식물나라 산소수 페이스 바디 선 크림 삐삐롱스타킹 에디션","19,800","크림형",NA,"200ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 식물나라","4"
"495","MISSHA 니어스킨 더스트리스 디펜스 선 블록","7,040",NA,NA,NA,NA,NA,NA,NA," MISSHA","43"
"496","밀키드레스 아쿠아 선 크림","13,150","크림형","영양공급, 피부보호","50ml(g)","SPF50","PA+++",NA,"자외선차단, 지속력, 밀착력, 주름개선"," 밀키드레스","5"
"497","뉴트로지나 울트라쉬어 드라이터치 선블럭","9,500","튜브형",NA,"80ml(g)","50","PA+++","모든피부용","자외선차단","뉴트로지나","5"
"498","마리끌레르 아로마씨드 힐링 선블록 - 티트리 ","3,950","크림형","수분공급","60ml(g)","SPF50","PA+++","모든피부용, 지성","자외선차단, 저자극, 주름개선"," 마리끌레르","16"
"499","MISSHA 올-어라운드 세이프 블록 소프트 피니쉬 선밀크","14,890",NA,"피부톤보정","70ml(g)","50","PA+++",NA,"자외선차단, 비타민 함유"," MISSHA","13"
"500","닥터랩 논 캐미컬 선 플루이드","29,900",NA,"화이트닝","65ml(g)","50","PA+++","건성, 지성, 민감성","자외선차단","닥터랩","27"
"501","아르테티끄 올인원 선블록","44,590","크림형","수분공급, 피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 아르테티끄","13"
"502","비디비치 틴티드 유브이 리퀴드","42,980","크림형","피부보호","40ml(g)","SPF50+","PA++++",NA,"자외선차단"," 비디비치","6"
"503","제로이드 더마뉴얼 선 블럭","32,000","튜브형","피부보호, 피부진정","50ml(g)","50","PA+++",NA,"자외선차단, 파라벤 프리, 무광물유","제로이드","8"
"504","니베아 프로텍트 앤 센서티브 선 로션 ","10,570","로션형","피부진정","200ml(g)","50","PA+++","모든피부용","자외선차단, 저자극, 무인공색소, 무인공향","니베아","24"
"505","빌리프 UV 프로텍터 멀티 선 스크린","30,160",NA,NA,"60ml","50","PA+++","모든피부용","자외선차단, 지속력","빌리프","11"
"506","23yearsold 2MG 선더마 B","27,900","크림형","수분공급, 피부보호","50ml(g)","SPF35","PA++",NA,"자외선차단","23yearsold","5"
"507","라끄베르 엔조이 선 샤인 쿨링 선 보틀","5,120","스프레이형",NA,"120ml(g)","50","PA+++","모든피부용","자외선차단, 쿨링감","라끄베르","82"
"508","시세이도 퓨처 솔루션 LX 유니버설 디펜스","106,380","크림형","피부보호","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 주름개선"," 시세이도","3"
"509","클레마티스 하이드로 프로텍티브 UV 선 에센스","27,000","크림형","수분공급, 영양공급, 피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 클레마티스","16"
"510","얼라이브랩 슈슈 선크림 민트","12,000","펌프형",NA,"50ml(g)","SPF48","PA+++",NA,"자외선차단"," 얼라이브랩","1"
"511","리스킨 TS 워터 선 젤","24,470","젤형","수분공급, 피부보호, 피부진정, 화이트닝, 피지케어, 백탁현상방지, 뭉침방지","50ml(g)","30","PA++","민감성","자외선차단, 흡수력, 쿨링감, 보습, 주름개선, 글리세린","리스킨","8"
"512","데이셀 에스테니끄 달팽이 선크림","13,660",NA,NA,"70ml(g)","50SPF","PA+++","모든피부용, 민감성","자외선차단, 지속력, 밀착력, 메이크업베이스 겸용","데이셀","73"
"513","참존 인텐시브 카밍 선블록","13,500","크림형","피부보호, 피부진정","50ml(g)","SPF50+","PA++++",NA,"자외선차단","참존","22"
"514","클리오 킬 프로텍션 선 베이스 보송 ","10,140","크림형","피부탄력, 피부결정돈, 피부톤보정, 화이트닝, 피지조절, 피지케어, 링클케어","50ml","50","PA++++","모든피부용","자외선차단, 커버력, 주름개선","클리오","13"
"515","설화수 상백 크림","43,350","튜브형","피부보호","40ml(g)","50","PA++++",NA,"자외선차단","설화수","55"
"516","세타필 데이롱 바디 앤 페이스 로션","17,900",NA,NA,"100ml","50","PA+++","모든피부용","자외선차단, 레포츠용","세타필","2"
"517","네오젠 데이 라이트 프로텍션 선 스크린","24,990","크림형","백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"자외선차단","네오젠","4"
"518","라네즈 선블럭 아쿠아 플러스","13,710","튜브형","수분공급, 피부보호","50ml(g)","35","PA++",NA,"자외선차단","라네즈","18"
"519","스킨알엑스랩 워터풀 선 업 크림 ","15,660","튜브형","수분공급, 피부보호, 피부진정, 피지조절","50ml(g)","50","PA++++","모든피부용","자외선차단","스킨알엑스랩","13"
"520","에뛰드하우스 선 프라이즈 더스트 블록","6,870",NA,"수분공급","55ml(g)","50+","PA+++","모든피부용","자외선차단, 쿨링감","에뛰드하우스","224"
"521","이지듀 데일리 워터프루프 선 크림","15,640","튜브형","수분공급, 윤기부여, 생기부여, 피부보호","60ml(g)","50","PA+++","모든피부용","자외선차단","이지듀","15"
"522","닥터제이 이노스킨랩 멀티프로텍션 선크림","41,000","튜브형","피부보호, 피부진정, 피부톤보정","60ml(g)","50","PA+++","지성, 민감성","저자극","닥터제이","5"
"523","참존 알바트로스 데일리 선","13,759",NA,"수분공급, 윤기부여, 피부보호, 피부진정, 피부탄력","60ml(g)","35","PA++",NA,"자외선차단","참존","40"
"524","쿨라 미네랄 선 시트러스 미모사","29,500","크림형","피부진정","90ml(g)","SPF30",NA,NA,"자외선차단, 흡수력, 보습","쿨라","62"
"525","네이처리퍼블릭 프로방스 카렌듈라 선 리퀴드","11,180",NA,"수분공급, 피부진정","50ml(g)","50","PA+++",NA,"자외선차단","네이처리퍼블릭","32"
"526","알바트로스 레포츠 선","11,550","튜브형","수분공급, 피부보호, 백탁현상방지","60ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단, 밀착력, 레포츠용","알바트로스","122"
"527","데이셀 닥터비타 비타민 선 크림 커버","14,900","크림형","영양공급, 피부보호","60ml(g)","SPF50+","PA++++","모든피부용","자외선차단, 주름개선"," 데이셀","22"
"528","라곰 셀러스 선 젤 ","22,400","젤형","수분공급, 피부보호, 피부진정","50ml(g)","50","PA+++","모든피부용","자외선차단, 저자극","라곰","11"
"529","에스쁘아 워터 스플래쉬 선크림","11,900","튜브형","수분공급, 생기부여, 피부보호, 피부진정","50ml(g)","50","PA+++","모든피부용","자외선차단","에스쁘아","11"
"530","스와니코코 썬브렐라 자외선차단제 선크림","16,830","로션형","영양공급, 윤기부여, 피부보호, 피부진정, 피부결정돈, 피부톤보정, 피부투명, 피지조절","50ml(g)","40","PA++","모든피부용","자외선차단, 저자극, 흡수력, 커버력","스와니코코","19"
"531","더페이스샵 클린 페이스 오일 프리 선크림","5,310","튜브형","피부보호","50ml(g)","35","PA++","모든피부용","자외선차단","더페이스샵","3"
"532","폴라초이스 리지스트 슈퍼 라이트 선 스크린","31,200","튜브형","화이트닝","60ml(g)","30",NA,"복합, 지성","자외선차단, 저자극","폴라초이스","3"
"533","크리니크 이븐 베터 다크 스팟 디펜스","37,440",NA,NA,"30ml(g)","50","PA+++","민감성","자외선차단","크리니크","12"
"534","이니스프리 에코 세이프티 노 세범 선블록","9,690","튜브형","피부진정","50ml(g)","35","PA+++",NA,"자외선차단, 미네랄 함유","이니스프리","13"
"535","인타글리오 티피 선 스크린","22,870","크림형",NA,"70ml(g)","SPF50","PA+++",NA,"워터프루프, 자외선차단","인타글리오","13"
"536","식물나라 산소수 톤 업 선 크림","13,800","크림형",NA,"50ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선"," 식물나라","2"
"537","차앤박 브라이트닝 데일리 플루이드 선 ","19,010",NA,"수분공급, 피부진정, 화이트닝, 피지조절","75ml(g)","50","PA++++","모든피부용","자외선차단","차앤박","34"
"538","랑콤 UV 엑스퍼트 XL 쉴드 BB 컴플리트 ","55,080",NA,"수분공급, 피부보호","50ml(g)","50","PA+++","모든피부용","자외선차단, 지속력","랑콤","3"
"539","토소웅 비타클리닉 비타민 선스틱 ","10,870","스틱형","수분공급, 피부보호, 피부탄력, 피부톤보정, 화이트닝, 백탁현상방지","15g","50","PA++++","모든피부용","자외선차단, 흡수력, 지속력, 비타민 함유, 발림성, 쿨링감, 보습, 주름개선, 레포츠용","토소웅","20"
"540","산심 휘백 선크림","23,500",NA,"영양공급, 피부보호, 피부진정, 화이트닝, 백탁현상방지","70ml(g)","37","PA++","모든피부용","자외선차단","산심","70"
"541","쓰리액티브 디펜스 선크림","23,550","크림형","수분공급, 영양공급, 피부보호","45ml(g)","SPF50+","PA++++","모든피부용","자외선차단",NA,"6"
"542","티엔 선 크림","8,400","튜브형","피지조절","60ml(g)","50","PA+++",NA,"자외선차단","티엔","27"
"543","MISSHA 세이프 블록 워터프루프 선밀크 ","12,780","로션형",NA,"70ml(g)","50","PA+++",NA,"워터프루프, 자외선차단","MISSHA","13"
"544","이자녹스 X2D2 링클 선크림","16,630",NA,"피부보호","70ml(g)","47",NA,NA,"자외선차단","이자녹스","14"
"545","수마노 굿 걸 굿 라이트 선스크린","19,152","크림형","수분공급, 영양공급","45ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 수마노","4"
"546","올빚 수분결 순수 선크림","19,600","크림형","수분공급, 피부보호","60ml(g)","SPF35","PA+++","모든피부용","자외선차단"," 올빚","2"
"547","차앤박 마일드 카밍 선 로션 ","19,010",NA,"피부보호, 피부진정, 백탁현상방지","50ml(g)","50","PA++++",NA,"자외선차단, 저자극, 발림성","차앤박","15"
"548","아이오페 UV 쉴드 선 쿠션","10,110","쿠션형","수분공급, 피부보호, 피부톤보정","13g","50","PA+++","모든피부용","자외선차단, 저자극, 쿨링감, 보습, 메이크업베이스 겸용","아이오페","107"
"549","달팡 인트랄 엔바이론멘탈 라이트웨이트 쉴드 ","50,180",NA,"피부보호, 피부톤보정","30ml(g)","50",NA,"모든피부용","자외선차단","달팡","32"
"550","겔랑 골드 오키드 임페리얼 UV 뷰티 프로텍터","170,900","크림형","피부보호","30ml(g)","SPF50","PA+++","모든피부용","자외선차단","겔랑","13"
"551","패밀리 UV 썬젤","14,000","크림형","수분공급, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단",NA,"23"
"552","반트36.5 선 데이 크림","23,590","튜브형","수분공급, 피부톤보정","50ml(g)","50","PA+++","모든피부용, 건성, 복합, 지성, 민감성","자외선차단","반트36.5","36"
